id,name,popularity,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7dJYggqjKo71KI9sLzqCs8,Agora Hills,86,Scarlet,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,audio_features,spotify:track:7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/tracks/7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/audio-analysis/7dJYggqjKo71KI9sLzqCs8,265360,4
5aIVCx5tnk0ntmdiinnYvw,Water,92,Water,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,audio_features,spotify:track:5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,200256,4
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,97,i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,99,DECIDE,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
0hKtu53OlIFXVuYkZwcn3o,Cinderella,89,WE DON'T TRUST YOU,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840,4
6Y4rniIxibegzsg8cdWAWV,BODYGUARD,86,COWBOY CARTER,0.726,0.779,4,-5.432,0,0.0551,0.0137,0.000235,0.365,0.539,119.031,audio_features,spotify:track:6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/tracks/6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/audio-analysis/6Y4rniIxibegzsg8cdWAWV,240254,4
7eEr7lgWYudwEKEaWCPiPI,BLACKBIIRD,83,COWBOY CARTER,0.476,0.192,7,-12.553,1,0.0269,0.716,0.0,0.11,0.201,93.709,audio_features,spotify:track:7eEr7lgWYudwEKEaWCPiPI,https://api.spotify.com/v1/tracks/7eEr7lgWYudwEKEaWCPiPI,https://api.spotify.com/v1/audio-analysis/7eEr7lgWYudwEKEaWCPiPI,131949,4
52eIcoLUM25zbQupAZYoFh,redrum,93,american dream,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,audio_features,spotify:track:52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,270698,4
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,87,Never Lose Me,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,audio_features,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU,125902,4
6K2Iut8nSQigP83yvbiqi8,AMERIICAN REQUIEM,83,COWBOY CARTER,0.374,0.515,4,-6.482,1,0.0363,0.0963,0.0,0.171,0.0568,93.769,audio_features,spotify:track:6K2Iut8nSQigP83yvbiqi8,https://api.spotify.com/v1/tracks/6K2Iut8nSQigP83yvbiqi8,https://api.spotify.com/v1/audio-analysis/6K2Iut8nSQigP83yvbiqi8,325038,4
5UcUppRaEIBMIHXiUFl7LI,SPAGHETTII,83,COWBOY CARTER,0.504,0.624,8,-7.444,1,0.428,0.476,0.0,0.0996,0.333,94.522,audio_features,spotify:track:5UcUppRaEIBMIHXiUFl7LI,https://api.spotify.com/v1/tracks/5UcUppRaEIBMIHXiUFl7LI,https://api.spotify.com/v1/audio-analysis/5UcUppRaEIBMIHXiUFl7LI,158477,3
2Zo1PcszsT9WQ0ANntJbID,Feather,91,emails i can’t send fwd:,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,audio_features,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553,4
73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),82,One Thing At A Time,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,audio_features,spotify:track:73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/tracks/73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/audio-analysis/73zawW1ttszLRgT9By826D,191231,4
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,90,Whatever She Wants,0.82,0.487,9,-7.358,0,0.0959,0.102,0.0,0.0803,0.431,96.028,audio_features,spotify:track:57wp7VFnV8X0pSVnYArGeJ,https://api.spotify.com/v1/tracks/57wp7VFnV8X0pSVnYArGeJ,https://api.spotify.com/v1/audio-analysis/57wp7VFnV8X0pSVnYArGeJ,161342,4
0WIv5qV41y6YjjB9V1biuC,Made For Me,87,Made For Me,0.785,0.47,7,-6.42,0,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,audio_features,spotify:track:0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/tracks/0WIv5qV41y6YjjB9V1biuC,https://api.spotify.com/v1/audio-analysis/0WIv5qV41y6YjjB9V1biuC,188000,4
3QS9ZCtoSCJhmaJ7QNXSAS,act ii: date @ 8 (feat. Drake) - remix,86,act ii: date @ 8 (feat. Drake) [remix],0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,audio_features,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/audio-analysis/3QS9ZCtoSCJhmaJ7QNXSAS,231339,4
0hWCzWl04zT7P6vMy63XCN,DAUGHTER,83,COWBOY CARTER,0.374,0.448,9,-10.04,0,0.0364,0.789,0.0,0.118,0.386,114.108,audio_features,spotify:track:0hWCzWl04zT7P6vMy63XCN,https://api.spotify.com/v1/tracks/0hWCzWl04zT7P6vMy63XCN,https://api.spotify.com/v1/audio-analysis/0hWCzWl04zT7P6vMy63XCN,203851,4
