danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_artist
0.624,0.629,0,-3.279,0,0.325,0.381,0.0,0.119,0.501,83.22,audio_features,3M4B9yhMAdgnpYphJjlXvP,spotify:track:3M4B9yhMAdgnpYphJjlXvP,https://api.spotify.com/v1/tracks/3M4B9yhMAdgnpYphJjlXvP,https://api.spotify.com/v1/audio-analysis/3M4B9yhMAdgnpYphJjlXvP,234057,5,Veracruz,Mc Kevin
0.658,0.56,4,-7.661,0,0.15,0.374,0.0,0.102,0.282,90.026,audio_features,0BiIVU9U3urXdPstfZQ6SB,spotify:track:0BiIVU9U3urXdPstfZQ6SB,https://api.spotify.com/v1/tracks/0BiIVU9U3urXdPstfZQ6SB,https://api.spotify.com/v1/audio-analysis/0BiIVU9U3urXdPstfZQ6SB,177500,4,Central do Brasil (4:20),Xamã
0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,audio_features,43PuMrRfbyyuz4QpZ3oAwN,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,194613,4,Exchange,Bryson Tiller
0.739,0.75,2,-7.945,1,0.0604,0.00465,0.00902,0.348,0.225,126.016,audio_features,5INT7DVOEKXo0uyVhPtg9n,spotify:track:5INT7DVOEKXo0uyVhPtg9n,https://api.spotify.com/v1/tracks/5INT7DVOEKXo0uyVhPtg9n,https://api.spotify.com/v1/audio-analysis/5INT7DVOEKXo0uyVhPtg9n,129524,4,"Dance For Me (1, 2, 3)",Lyente
0.851,0.544,11,-6.428,1,0.13,0.55,0.0,0.0909,0.723,125.075,audio_features,7fxrvStpH0qyh6iHXoSZ31,spotify:track:7fxrvStpH0qyh6iHXoSZ31,https://api.spotify.com/v1/tracks/7fxrvStpH0qyh6iHXoSZ31,https://api.spotify.com/v1/audio-analysis/7fxrvStpH0qyh6iHXoSZ31,247702,4,"Sem convite (feat. MODÉ$TIA, MC Cabelinho e Yoka)",Papatinho
0.691,0.708,9,-4.821,1,0.195,0.338,0.0,0.311,0.602,160.018,audio_features,4uqJelb9THHmJ3OCohg4ZJ,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,https://api.spotify.com/v1/tracks/4uqJelb9THHmJ3OCohg4ZJ,https://api.spotify.com/v1/audio-analysis/4uqJelb9THHmJ3OCohg4ZJ,173698,4,Nosso Quadro,AgroPlay
0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,audio_features,4KW1lqgSr8TKrvBII0Brf8,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,135920,4,Father Stretch My Hands Pt. 1,Kanye West
0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4,Strangers,Kenya Grace
0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,audio_features,0cGG2EouYCEEC3xfa0tDFV,spotify:track:0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/tracks/0cGG2EouYCEEC3xfa0tDFV,https://api.spotify.com/v1/audio-analysis/0cGG2EouYCEEC3xfa0tDFV,153800,4,Tainted Love,Soft Cell
0.854,0.93,2,-2.022,1,0.245,0.214,0.0,0.336,0.725,87.554,audio_features,1ljWurj1F8YQ5lqLYXyR4H,spotify:track:1ljWurj1F8YQ5lqLYXyR4H,https://api.spotify.com/v1/tracks/1ljWurj1F8YQ5lqLYXyR4H,https://api.spotify.com/v1/audio-analysis/1ljWurj1F8YQ5lqLYXyR4H,133029,4,Já Te Amei (170 Bpm) - Remix,MC Senna
0.668,0.829,11,-2.748,0,0.0334,0.00572,0.0,0.358,0.648,127.0,audio_features,55VzNhbcf0Gxf6qRCUAV01,spotify:track:55VzNhbcf0Gxf6qRCUAV01,https://api.spotify.com/v1/tracks/55VzNhbcf0Gxf6qRCUAV01,https://api.spotify.com/v1/audio-analysis/55VzNhbcf0Gxf6qRCUAV01,192276,4,Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta
0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,audio_features,5TRPicyLGbAF2LGBFbHGvO,spotify:track:5TRPicyLGbAF2LGBFbHGvO,https://api.spotify.com/v1/tracks/5TRPicyLGbAF2LGBFbHGvO,https://api.spotify.com/v1/audio-analysis/5TRPicyLGbAF2LGBFbHGvO,237507,4,Flashing Lights,Kanye West
0.567,0.505,0,-6.894,1,0.223,0.372,0.0,0.111,0.359,109.888,audio_features,5f4P00Gz96UNrwZnsnzC4i,spotify:track:5f4P00Gz96UNrwZnsnzC4i,https://api.spotify.com/v1/tracks/5f4P00Gz96UNrwZnsnzC4i,https://api.spotify.com/v1/audio-analysis/5f4P00Gz96UNrwZnsnzC4i,177386,5,Beaujolais,Calabasas
0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533,4,Summer,Calvin Harris
0.726,0.704,6,-5.871,0,0.0318,0.0559,1.61e-05,0.132,0.44,113.971,audio_features,1tghjqMyvWDXux1sBTZOXP,spotify:track:1tghjqMyvWDXux1sBTZOXP,https://api.spotify.com/v1/tracks/1tghjqMyvWDXux1sBTZOXP,https://api.spotify.com/v1/audio-analysis/1tghjqMyvWDXux1sBTZOXP,198421,4,Too Bad,GIULIA BE
0.865,0.462,4,-4.802,0,0.151,0.412,0.0,0.233,0.667,133.063,audio_features,1Cmy8GxBFbWNbh4jPnPQ9n,spotify:track:1Cmy8GxBFbWNbh4jPnPQ9n,https://api.spotify.com/v1/tracks/1Cmy8GxBFbWNbh4jPnPQ9n,https://api.spotify.com/v1/audio-analysis/1Cmy8GxBFbWNbh4jPnPQ9n,187951,4,Irmã Gostosa,Mc Livinho
0.714,0.563,1,-7.574,1,0.0723,0.0266,0.0,0.0776,0.31,100.091,audio_features,1ID1QFSNNxi0hiZCNcwjUC,spotify:track:1ID1QFSNNxi0hiZCNcwjUC,https://api.spotify.com/v1/tracks/1ID1QFSNNxi0hiZCNcwjUC,https://api.spotify.com/v1/audio-analysis/1ID1QFSNNxi0hiZCNcwjUC,241853,4,Legend,Drake
0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,audio_features,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/tracks/1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/audio-analysis/1huvTbEYtgltjQRXzrNKGi,219840,4,Don't,Ed Sheeran
0.846,0.743,6,-3.044,1,0.0443,0.16,0.0,0.117,0.913,118.023,audio_features,2D1YgoOgqGfEENCtsZNXMi,spotify:track:2D1YgoOgqGfEENCtsZNXMi,https://api.spotify.com/v1/tracks/2D1YgoOgqGfEENCtsZNXMi,https://api.spotify.com/v1/audio-analysis/2D1YgoOgqGfEENCtsZNXMi,162222,4,Vai Vendo,Anitta
0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,audio_features,3C0nOe05EIt1390bVABLyN,spotify:track:3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/tracks/3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/audio-analysis/3C0nOe05EIt1390bVABLyN,284867,4,On The Floor,Jennifer Lopez
0.724,0.912,9,-5.628,1,0.404,0.313,0.0,0.0921,0.477,89.971,audio_features,3HfJucp1eH2WZYn9fdDE74,spotify:track:3HfJucp1eH2WZYn9fdDE74,https://api.spotify.com/v1/tracks/3HfJucp1eH2WZYn9fdDE74,https://api.spotify.com/v1/audio-analysis/3HfJucp1eH2WZYn9fdDE74,168763,4,c l o s e,J. Cole
0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,audio_features,5bgwqaRSS3M8WHWruHgSL5,spotify:track:5bgwqaRSS3M8WHWruHgSL5,https://api.spotify.com/v1/tracks/5bgwqaRSS3M8WHWruHgSL5,https://api.spotify.com/v1/audio-analysis/5bgwqaRSS3M8WHWruHgSL5,228600,4,8TEEN,Khalid
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,audio_features,7ycWLEP1GsNjVvcjawXz3z,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,205040,4,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky
0.722,0.331,8,-7.789,1,0.0726,0.337,0.282,0.146,0.102,143.961,audio_features,7EiZI6JVHllARrX9PUvAdX,spotify:track:7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,313547,4,Low Life (feat. The Weeknd),Future
0.566,0.655,3,-3.079,0,0.313,0.553,0.0,0.0974,0.699,88.95,audio_features,1fzaUKQv7sgGW0udQVghSW,spotify:track:1fzaUKQv7sgGW0udQVghSW,https://api.spotify.com/v1/tracks/1fzaUKQv7sgGW0udQVghSW,https://api.spotify.com/v1/audio-analysis/1fzaUKQv7sgGW0udQVghSW,438749,3,Desacato,MC LUUKY
0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,audio_features,6vc2Jq2vaGu8z326kSrw92,spotify:track:6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,187133,4,Your Love Is My Drug,Kesha
0.777,0.816,2,-7.01,0,0.189,0.0324,7.94e-05,0.138,0.516,150.09,audio_features,086THPnabbu1zfDjRsxpoN,spotify:track:086THPnabbu1zfDjRsxpoN,https://api.spotify.com/v1/tracks/086THPnabbu1zfDjRsxpoN,https://api.spotify.com/v1/audio-analysis/086THPnabbu1zfDjRsxpoN,116465,4,MONEY ON THE DASH - SPED UP,Elley Duhé
0.72,0.661,2,-5.663,0,0.245,0.686,0.0,0.33,0.759,130.143,audio_features,0S9JEbBKzkPOqMgEgZxXXh,spotify:track:0S9JEbBKzkPOqMgEgZxXXh,https://api.spotify.com/v1/tracks/0S9JEbBKzkPOqMgEgZxXXh,https://api.spotify.com/v1/audio-analysis/0S9JEbBKzkPOqMgEgZxXXh,150480,4,Iphone Fourteen,MC Teteu
0.841,0.409,6,-1.436,0,0.0655,0.761,0.0,0.0894,0.896,86.61,audio_features,0XJ125XpbDrPM4ncStIIUT,spotify:track:0XJ125XpbDrPM4ncStIIUT,https://api.spotify.com/v1/tracks/0XJ125XpbDrPM4ncStIIUT,https://api.spotify.com/v1/audio-analysis/0XJ125XpbDrPM4ncStIIUT,132461,5,Bandido de Glock - ESTUDIO,Mc Mika
0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,audio_features,0qOnSQQF0yzuPWsXrQ9paz,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/tracks/0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/audio-analysis/0qOnSQQF0yzuPWsXrQ9paz,210960,4,Stereo Hearts (feat. Adam Levine),Gym Class Heroes
0.739,0.845,5,-5.93,0,0.0397,0.00155,0.0107,0.775,0.839,121.997,audio_features,12yj178KaJo8PrddT0StaL,spotify:track:12yj178KaJo8PrddT0StaL,https://api.spotify.com/v1/tracks/12yj178KaJo8PrddT0StaL,https://api.spotify.com/v1/audio-analysis/12yj178KaJo8PrddT0StaL,147541,4,What's Up,Gaullin
0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,audio_features,1h6kgem1ai8vUgO1rZOwfB,spotify:track:1h6kgem1ai8vUgO1rZOwfB,https://api.spotify.com/v1/tracks/1h6kgem1ai8vUgO1rZOwfB,https://api.spotify.com/v1/audio-analysis/1h6kgem1ai8vUgO1rZOwfB,293840,4,I Don't Like,Chief Keef
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4,One Dance,Drake
0.532,0.355,1,-6.632,1,0.332,0.732,0.0,0.105,0.399,82.713,audio_features,22sAwsBH0NoNJXnrBenQuO,spotify:track:22sAwsBH0NoNJXnrBenQuO,https://api.spotify.com/v1/tracks/22sAwsBH0NoNJXnrBenQuO,https://api.spotify.com/v1/audio-analysis/22sAwsBH0NoNJXnrBenQuO,120461,3,Sem Aliança no Dedo,MC Xenon
0.73,0.422,5,-6.211,0,0.0678,0.123,0.00292,0.105,0.505,118.427,audio_features,28luqgS4NCuFKP6YSOtia5,spotify:track:28luqgS4NCuFKP6YSOtia5,https://api.spotify.com/v1/tracks/28luqgS4NCuFKP6YSOtia5,https://api.spotify.com/v1/audio-analysis/28luqgS4NCuFKP6YSOtia5,173785,4,Foreplay,Jalen Santoy
0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818,audio_features,2N3U8uTYhjX2KwGT0pf5x0,spotify:track:2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/tracks/2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/audio-analysis/2N3U8uTYhjX2KwGT0pf5x0,260987,4,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky
0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044,audio_features,2ouFrmMwYik8nQX2n9SeZu,spotify:track:2ouFrmMwYik8nQX2n9SeZu,https://api.spotify.com/v1/tracks/2ouFrmMwYik8nQX2n9SeZu,https://api.spotify.com/v1/audio-analysis/2ouFrmMwYik8nQX2n9SeZu,261001,4,On My Knees,RÜFÜS DU SOL
0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,audio_features,2rgtCOVK2tpfao2VjURn84,spotify:track:2rgtCOVK2tpfao2VjURn84,https://api.spotify.com/v1/tracks/2rgtCOVK2tpfao2VjURn84,https://api.spotify.com/v1/audio-analysis/2rgtCOVK2tpfao2VjURn84,203520,4,Lovers on the Sun (feat. Sam Martin),David Guetta
0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,233902,4,Unforgettable,French Montana
0.743,0.87,1,-2.188,1,0.212,0.0595,0.0,0.299,0.884,99.079,audio_features,3wScL5W8H40zzCKN0atfBk,spotify:track:3wScL5W8H40zzCKN0atfBk,https://api.spotify.com/v1/tracks/3wScL5W8H40zzCKN0atfBk,https://api.spotify.com/v1/audio-analysis/3wScL5W8H40zzCKN0atfBk,194184,4,Uproar,Lil Wayne
0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,audio_features,4X5f3vT8MRuXF68pfjNte5,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787,4,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky
0.782,0.885,11,-6.439,0,0.131,0.00845,0.0,0.0725,0.608,94.491,audio_features,5G0IKeid1KIFnfUb3RCgp3,spotify:track:5G0IKeid1KIFnfUb3RCgp3,https://api.spotify.com/v1/tracks/5G0IKeid1KIFnfUb3RCgp3,https://api.spotify.com/v1/audio-analysis/5G0IKeid1KIFnfUb3RCgp3,172755,4,Wicked,JMB Juvie
0.617,0.621,11,-10.233,1,0.0306,0.0207,3.8e-05,0.0879,0.378,124.992,audio_features,5K8cyMKcnG4rx5ocW3u7OW,spotify:track:5K8cyMKcnG4rx5ocW3u7OW,https://api.spotify.com/v1/tracks/5K8cyMKcnG4rx5ocW3u7OW,https://api.spotify.com/v1/audio-analysis/5K8cyMKcnG4rx5ocW3u7OW,227173,4,Ordinary Love - Extraordinary Mix,U2
0.893,0.48,1,-3.728,0,0.356,0.00855,0.0,0.116,0.382,86.976,audio_features,5lFDtgWsjRJu8fPOAyJIAK,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,https://api.spotify.com/v1/tracks/5lFDtgWsjRJu8fPOAyJIAK,https://api.spotify.com/v1/audio-analysis/5lFDtgWsjRJu8fPOAyJIAK,170638,4,Back To Back,Drake
0.754,0.342,10,-8.677,0,0.0991,0.073,0.0,0.193,0.423,128.981,audio_features,5qHirGR7M9tdm6C17DlzSY,spotify:track:5qHirGR7M9tdm6C17DlzSY,https://api.spotify.com/v1/tracks/5qHirGR7M9tdm6C17DlzSY,https://api.spotify.com/v1/audio-analysis/5qHirGR7M9tdm6C17DlzSY,121347,4,REEL IT IN,Aminé
0.646,0.918,9,-4.112,1,0.0346,0.382,1.87e-05,0.251,0.87,143.943,audio_features,6Ulh9GPYz6JKdv04qc3q2U,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,https://api.spotify.com/v1/tracks/6Ulh9GPYz6JKdv04qc3q2U,https://api.spotify.com/v1/audio-analysis/6Ulh9GPYz6JKdv04qc3q2U,153958,4,Dengo,João Gomes
0.734,0.751,1,-7.26,1,0.285,0.00529,0.0,0.183,0.56,161.997,audio_features,6V4KHt9xu4TPEnDFoBeacT,spotify:track:6V4KHt9xu4TPEnDFoBeacT,https://api.spotify.com/v1/tracks/6V4KHt9xu4TPEnDFoBeacT,https://api.spotify.com/v1/audio-analysis/6V4KHt9xu4TPEnDFoBeacT,159916,4,Rubbin off the Paint,YBN Nahmir
0.677,0.868,11,-4.313,0,0.0322,0.594,0.0,0.0967,0.966,95.994,audio_features,6Vfcu5p7cPcoVImKJ4gBhI,spotify:track:6Vfcu5p7cPcoVImKJ4gBhI,https://api.spotify.com/v1/tracks/6Vfcu5p7cPcoVImKJ4gBhI,https://api.spotify.com/v1/audio-analysis/6Vfcu5p7cPcoVImKJ4gBhI,400627,4,Mina do Condomínio,Seu Jorge
0.786,0.687,0,-5.914,1,0.141,0.00758,0.0,0.619,0.345,105.021,audio_features,6cREm4bV7V79Yxdilx9HDo,spotify:track:6cREm4bV7V79Yxdilx9HDo,https://api.spotify.com/v1/tracks/6cREm4bV7V79Yxdilx9HDo,https://api.spotify.com/v1/audio-analysis/6cREm4bV7V79Yxdilx9HDo,215160,4,Once In a While,Timeflies
0.7,0.914,2,-3.047,0,0.0539,0.168,0.0,0.761,0.776,149.918,audio_features,6e5byyKtx6R0h66gagelPe,spotify:track:6e5byyKtx6R0h66gagelPe,https://api.spotify.com/v1/tracks/6e5byyKtx6R0h66gagelPe,https://api.spotify.com/v1/audio-analysis/6e5byyKtx6R0h66gagelPe,144298,4,Quando Apaga A Luz - Ao Vivo,Gustavo Mioto
0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,audio_features,6n4U3TlzUGhdSFbUUhTvLP,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,https://api.spotify.com/v1/tracks/6n4U3TlzUGhdSFbUUhTvLP,https://api.spotify.com/v1/audio-analysis/6n4U3TlzUGhdSFbUUhTvLP,276147,4,Walk It Talk It,Migos
0.57,0.873,5,-5.188,0,0.07,0.00853,0.0,0.365,0.236,125.086,audio_features,6siDDghVE7fxel5o7fE4OF,spotify:track:6siDDghVE7fxel5o7fE4OF,https://api.spotify.com/v1/tracks/6siDDghVE7fxel5o7fE4OF,https://api.spotify.com/v1/audio-analysis/6siDDghVE7fxel5o7fE4OF,171133,4,Sweater Weather,Gaullin
